region_name,governorate_name
Ben Gardane,MEDENINE
Séjoumi,TUNIS
M'saken,SOUSSE
Nador,ZAGHOUAN
Mateur,BIZERTE
Siliana,SILIANA
Kébili,KEBILI
Ben Arous,BEN_AROUS
Bir Ali Ben Khalifa,SFAX
Bir El Hafey,SIDI_BOUZID
Bizerte,BIZERTE
Bou Arada,SILIANA
Bou Salem,JENDOUBA
Bouficha,SOUSSE
Béja,BEJA
Chébika,TOZEUR
Djerba,MEDENINE
Douz,KEBILI
El Fahs,ZAGHOUAN
El Hamma du Jérid,TOZEUR
El Hencha,SFAX
El Krib,SILIANA
El Ksar,GAFSA
Enfidha ,SOUSSE
Ettadhamen,ARIANA
Fouchana,BEN_AROUS
Gafsa,GAFSA
Ghardimaou,JENDOUBA
Hajeb El Ayoun,KAIROUAN
Hammam Lif,BEN_AROUS
Hammamet,NABEUL
Jardin d'El Menzah,ARIANA
Jelma,SIDI_BOUZID
Jemmal,MONASTIR
Jendouba,JENDOUBA
Kairouan,KAIROUAN
Ksar Hellel ,MONASTIR
Le Kef,KEF
Mahares,SFAX
Majaz Al Bab,BEJA
Makthar,SILIANA
Manouba,MANOUBA
Menzel Chaker,SFAX
Mnihla,ARIANA
Moknine,MONASTIR
Monastir,MONASTIR
Médenine,MEDENINE
Métlaoui,GAFSA
Nefza,BEJA
Oudhref,GABES
Remada,TATAOUINE
Sbeïtla,KASSERINE
Sejnane,BIZERTE
Sfax,SFAX
Sidi Bouzid,SIDI_BOUZID
Siliana,SILIANA
Tabarka,JENDOUBA
Tajerouine,KEF
Tataouine,TATAOUINE
Thala,KASSERINE
Tunis,TUNIS
Tébourba,MANOUBA
Téboursouk,BEJA
Utique,BIZERTE
Zaghouan,ZAGHOUAN
Aouina,TUNIS
Ariana,ARIANA
Borj El Aifa,KEF
Bou Hajla,KAIROUAN
Dahmani,KEF
El Jem,MAHDIA
Gabès,GABES
Hammam Sousse,SOUSSE
Kasserine,KASSERINE
Korba,NABEUL
Mahdia,MAHDIA
Menzel Temime,NABEUL
Nabeul,NABEUL
Sahline,MONASTIR
Sbikha,KAIROUAN
Slimane,NABEUL
Sousse,SOUSSE
Tozeur,TOZEUR
Zarzis,MEDENINE
Soukra,ARIANA
Raoued,ARIANA
Bab El Bhar,TUNIS
Bab Souika,TUNIS
Carthage,TUNIS
Cité El Khadra,TUNIS
Djebel Jelloud,TUNIS
El Kabaria,TUNIS
El Menzah,TUNIS
El Omrane,TUNIS
El Omrane supérieur,TUNIS
El Ouardia,TUNIS
Ettahrir,TUNIS
La Goulette,TUNIS
La Marsa,TUNIS
Le Bardo,TUNIS
Le Kram,TUNIS
Médina,TUNIS
Sidi El Béchir,TUNIS
Sidi Hassine,TUNIS
Kalaât El Andalous,ARIANA
Sidi Thabet,ARIANA
Amdoun,BEJA
Goubellat,BEJA
